name,full_name,tier1,tier,event_type,month,day,year_offset,url,notes,notes_file,acceptance_rate
USENIX ATC,USENIX Annual Technical Conference,true,regular,conference,7,14,0,https://www.usenix.org/conference/atc26,Approximate dates; verify for current year,notes/USENIX_ATC.md,~18%
USENIX ATC,USENIX Annual Technical Conference,true,regular,deadline,1,15,0,https://www.usenix.org/conference/atc26,Approximate dates; verify for current year,notes/USENIX_ATC.md,~18%
SigMetrics,ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,true,regular,conference,6,9,0,https://www.sigmetrics.org/sigmetrics2026/,Approximate dates; verify for current year,notes/SigMetrics.md,~15%
SigMetrics,ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,true,regular,deadline,10,15,-1,https://www.sigmetrics.org/sigmetrics2026/,Approximate dates; verify for current year,notes/SigMetrics.md,~15%
SIGMOD,ACM Special Interest Group on Management of Data,false,regular,conference,6,15,0,https://2026.sigmod.org,Not HPC-focused; kept for cross-domain tracking,notes/SIGMOD.md,~20%
SIGMOD,ACM Special Interest Group on Management of Data,false,regular,deadline,10,17,-1,https://2026.sigmod.org,Round 1,notes/SIGMOD.md,~20%
SIGMOD,ACM Special Interest Group on Management of Data,false,regular,deadline,1,17,0,https://2026.sigmod.org,Round 2,notes/SIGMOD.md,~20%
SIGMOD,ACM Special Interest Group on Management of Data,false,regular,deadline,4,17,0,https://2026.sigmod.org,Round 3,notes/SIGMOD.md,~20%
VLDB,International Conference on Very Large Databases,false,regular,conference,9,5,0,https://www.vldb.org,Database-focused,notes/VLDB.md,~20%
VLDB,International Conference on Very Large Databases,false,regular,deadline,3,1,0,https://www.vldb.org,Rolling monthly deadlines; final March 1,notes/VLDB.md,~20%
MSST,International Conference on Massive Storage Systems and Technology,false,regular,conference,6,5,0,https://www.msstconference.org/,Storage-focused,notes/MSST.md,
MSST,International Conference on Massive Storage Systems and Technology,false,regular,deadline,4,4,0,https://www.msstconference.org/,,notes/MSST.md,
ICPP,International Conference on Parallel Processing,false,regular,conference,9,28,0,https://icpp2026.github.io/,,notes/ICPP.md,~25%
ICPP,International Conference on Parallel Processing,false,regular,deadline,5,1,0,https://icpp2026.github.io/,,notes/ICPP.md,~25%
ICDE,IEEE International Conference on Data Engineering,false,regular,conference,5,5,0,https://icde2026.github.io/,2 submission rounds,notes/ICDE.md,~20%
ICDE,IEEE International Conference on Data Engineering,false,regular,deadline,6,18,-1,https://icde2026.github.io/,Round 1,notes/ICDE.md,~20%
ICDE,IEEE International Conference on Data Engineering,false,regular,deadline,10,27,-1,https://icde2026.github.io/,Round 2,notes/ICDE.md,~20%
DRBSD,International Workshop on Data Analysis and Reduction for Big Scientific Data,false,workshop,conference,11,15,0,https://drbsd.github.io/,Supercomputing workshop,notes/DRBSD.md,
DRBSD,International Workshop on Data Analysis and Reduction for Big Scientific Data,false,workshop,deadline,8,15,0,https://drbsd.github.io/,,notes/DRBSD.md,
